U1,N1,N2,N_1_1_1,N_1_1_2,N_1_2_1,N_1_2_2,N_1_3_1,N_1_3_2,N_1_4_1,N_1_4_2,N_2_1_1,N_2_1_2,N_2_2_1,N_2_2_2,N_2_3_1,N_2_3_2,N_2_4_1,N_2_4_2
7, 10, 30, 24, 60, 24, 60, 22, 30, 22, 30, 24, 60, 24, 60, 22, 30, 22, 30
7, 10, 14, 26, 28, 24, 26, 26, 28, 24, 26, 26, 28, 24, 26, 26, 28, 24, 26
7, 10, 16, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34
7, 24, 14, 42, 32, 40, 26, 42, 32, 40, 26, 42, 32, 40, 26, 42, 32, 40, 26
8, 10, 14, 24, 28, 22, 30, 24, 28, 22, 30, 24, 28, 22, 30, 24, 28, 22, 30
8, 10, 24, 24, 28, 22, 42, 24, 28, 22, 42, 24, 28, 22, 42, 24, 28, 22, 42
8, 10, 24, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42
8, 24, 10, 42, 24, 40, 26, 42, 24, 40, 26, 42, 24, 40, 26, 42, 24, 40, 26
7, 40, 10, 72, 26, 42, 24, 72, 26, 42, 24, 72, 26, 42, 24, 72, 26, 42, 24
10, 10, 6, 24, 26, 26, 28, 26, 28, 24, 26, 24, 26, 26, 28, 26, 28, 24, 26
7, 10, 16, 24, 28, 22, 26, 24, 28, 22, 26, 24, 28, 22, 26, 24, 28, 22, 26
6, 40, 14, 72, 26, 42, 32, 72, 26, 42, 32, 72, 26, 42, 32, 72, 26, 42, 32
8, 20, 10, 62, 22, 72, 24, 62, 22, 72, 32, 62, 22, 72, 24, 62, 22, 72, 32
8, 24, 10, 28, 24, 28, 24, 42, 22, 42, 22, 28, 24, 28, 24, 42, 22, 42, 22
7, 40, 10, 40, 26, 40, 26, 74, 24, 74, 24, 40, 26, 40, 26, 74, 24, 74, 24
8, 10, 14, 24, 28, 24, 28, 22, 30, 22, 30, 24, 28, 24, 28, 22, 30, 22, 30
7, 10, 40, 24, 60, 22, 42, 24, 60, 22, 42, 24, 60, 22, 42, 24, 60, 22, 42
5, 12, 12, 60, 32, 28, 24, 28, 32, 28, 24, 60, 32, 28, 24, 28, 32, 28, 24
6, 14, 40, 32, 74, 26, 40, 32, 74, 26, 40, 32, 74, 26, 40, 32, 74, 26, 40
7, 30, 10, 60, 24, 30, 22, 60, 24, 30, 22, 60, 24, 30, 22, 60, 24, 30, 22
7, 40, 10, 60, 24, 42, 22, 60, 24, 42, 22, 60, 24, 42, 22, 60, 24, 42, 22
7, 10, 40, 26, 72, 26, 72, 24, 42, 24, 42, 26, 72, 26, 72, 24, 42, 24, 42
7, 22, 10, 44, 26, 26, 24, 44, 26, 26, 24, 44, 26, 26, 24, 44, 26, 26, 24
8, 14, 10, 28, 24, 30, 22, 28, 24, 30, 22, 28, 24, 30, 22, 28, 24, 30, 22
7, 40, 10, 40, 26, 74, 24, 40, 26, 74, 24, 40, 26, 74, 24, 40, 26, 74, 24
8, 24, 10, 72, 26, 42, 24, 40, 26, 42, 24, 72, 26, 42, 24, 40, 26, 42, 24
5, 28, 12, 60, 32, 60, 24, 28, 32, 28, 24, 60, 32, 60, 24, 28, 32, 28, 24
9, 8, 20, 42, 42, 42, 30, 42, 42, 42, 30, 42, 42, 42, 30, 42, 42, 42, 30
8, 10, 14, 24, 28, 24, 28, 22, 30, 22, 30, 24, 28, 24, 28, 22, 30, 22, 30
7, 10, 30, 24, 60, 22, 30, 24, 60, 22, 30, 24, 60, 22, 30, 24, 60, 22, 30
6, 40, 14, 72, 26, 72, 26, 42, 32, 42, 32, 72, 26, 72, 26, 42, 32, 42, 32
9, 6, 10, 26, 24, 26, 24, 28, 26, 28, 26, 26, 24, 26, 24, 28, 26, 28, 26
6, 16, 14, 72, 32, 72, 32, 62, 22, 62, 22, 72, 32, 72, 32, 62, 22, 62, 22
8, 8, 14, 36, 32, 36, 32, 42, 26, 42, 26, 36, 32, 36, 32, 42, 26, 42, 26
9, 12, 10, 40, 26, 34, 24, 32, 26, 42, 24, 40, 26, 34, 24, 32, 26, 42, 24
7, 10, 16, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32
7, 10, 16, 24, 72, 24, 72, 22, 62, 22, 62, 24, 72, 24, 72, 22, 62, 22, 62
8, 10, 14, 26, 44, 26, 28, 24, 26, 24, 42, 26, 44, 26, 28, 24, 26, 24, 42
8, 10, 10, 28, 26, 44, 26, 26, 24, 26, 24, 28, 26, 44, 26, 26, 24, 26, 24
8, 10, 14, 24, 60, 24, 28, 22, 30, 22, 30, 24, 60, 24, 28, 22, 30, 22, 30
9, 20, 8, 42, 42, 42, 42, 30, 42, 30, 42, 42, 42, 42, 42, 30, 42, 30, 42
7, 10, 22, 26, 28, 24, 42, 26, 28, 24, 42, 26, 28, 24, 42, 26, 28, 24, 42
9, 12, 10, 40, 26, 32, 26, 42, 24, 34, 24, 40, 26, 32, 26, 42, 24, 34, 24
7, 24, 14, 42, 32, 42, 32, 40, 26, 40, 26, 42, 32, 42, 32, 40, 26, 40, 26
8, 24, 10, 42, 24, 42, 24, 40, 26, 40, 26, 42, 24, 42, 24, 40, 26, 40, 26
7, 10, 40, 26, 72, 24, 42, 26, 72, 24, 42, 26, 72, 24, 42, 26, 72, 24, 42
7, 16, 10, 28, 24, 28, 24, 26, 22, 26, 22, 28, 24, 28, 24, 26, 22, 26, 22
8, 10, 8, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34
7, 10, 22, 26, 44, 26, 44, 24, 26, 24, 26, 26, 44, 26, 44, 24, 26, 24, 26
9, 8, 20, 42, 30, 42, 42, 42, 42, 42, 30, 42, 30, 42, 42, 42, 42, 42, 30
7, 10, 40, 24, 74, 26, 40, 24, 74, 26, 40, 24, 74, 26, 40, 24, 74, 26, 40
7, 14, 24, 32, 42, 26, 40, 32, 74, 26, 40, 32, 42, 26, 40, 32, 74, 26, 40
7, 16, 10, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24
8, 10, 8, 26, 32, 26, 32, 24, 34, 24, 34, 26, 32, 26, 32, 24, 34, 24, 34
7, 14, 10, 28, 26, 28, 26, 26, 24, 26, 24, 28, 26, 28, 26, 26, 24, 26, 24
9, 8, 12, 42, 30, 42, 30, 42, 26, 42, 26, 42, 30, 42, 30, 42, 26, 42, 26
6, 14, 40, 32, 74, 32, 74, 26, 40, 26, 40, 32, 74, 32, 74, 26, 40, 26, 40
9, 8, 20, 42, 42, 42, 30, 42, 42, 42, 30, 42, 42, 42, 30, 42, 42, 42, 30
9, 12, 10, 28, 24, 28, 24, 26, 22, 42, 22, 28, 24, 28, 24, 26, 22, 42, 22
7, 22, 10, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42
7, 10, 22, 24, 42, 24, 42, 26, 28, 26, 28, 24, 42, 24, 42, 26, 28, 26, 28
7, 10, 16, 24, 56, 22, 62, 24, 56, 22, 62, 24, 56, 22, 62, 24, 56, 22, 62
9, 20, 8, 62, 22, 72, 24, 62, 22, 72, 24, 62, 22, 72, 24, 62, 22, 72, 24
8, 10, 10, 28, 26, 26, 24, 28, 26, 42, 24, 28, 26, 26, 24, 28, 26, 42, 24
9, 8, 12, 24, 56, 24, 56, 24, 72, 32, 56, 24, 56, 24, 56, 24, 72, 32, 56
7, 10, 40, 26, 72, 26, 72, 24, 42, 24, 42, 26, 72, 26, 72, 24, 42, 24, 42
9, 8, 20, 32, 72, 24, 56, 24, 72, 24, 72, 32, 72, 24, 56, 24, 72, 24, 72
7, 10, 30, 24, 60, 24, 60, 22, 30, 22, 30, 24, 60, 24, 60, 22, 30, 22, 30
9, 6, 10, 28, 24, 30, 22, 28, 24, 30, 22, 28, 24, 30, 22, 28, 24, 30, 22
4, 36, 12, 84, 28, 52, 28, 84, 28, 52, 28, 84, 28, 52, 28, 84, 28, 52, 28
7, 10, 22, 42, 42, 36, 32, 42, 42, 44, 32, 42, 42, 36, 32, 42, 42, 44, 32
8, 10, 24, 24, 74, 26, 40, 24, 42, 26, 40, 24, 74, 26, 40, 24, 42, 26, 40
7, 10, 22, 32, 26, 26, 28, 26, 44, 24, 42, 32, 26, 26, 28, 26, 44, 24, 42
7, 10, 40, 24, 60, 24, 60, 22, 42, 22, 42, 24, 60, 24, 60, 22, 42, 22, 42
8, 8, 14, 36, 32, 42, 26, 36, 32, 42, 26, 36, 32, 42, 26, 36, 32, 42, 26
9, 20, 8, 40, 26, 40, 26, 42, 24, 42, 24, 40, 26, 40, 26, 42, 24, 42, 24
7, 10, 14, 36, 32, 42, 26, 44, 32, 42, 26, 36, 32, 42, 26, 44, 32, 42, 26
5, 12, 12, 60, 32, 28, 32, 28, 24, 28, 24, 60, 32, 28, 32, 28, 24, 28, 24
8, 24, 10, 74, 24, 40, 26, 42, 24, 40, 26, 74, 24, 40, 26, 42, 24, 40, 26
9, 12, 8, 72, 24, 56, 32, 56, 24, 56, 24, 72, 24, 56, 32, 56, 24, 56, 24
8, 10, 24, 26, 72, 26, 40, 24, 42, 24, 42, 26, 72, 26, 40, 24, 42, 24, 42
8, 10, 24, 22, 42, 22, 42, 24, 28, 24, 28, 22, 42, 22, 42, 24, 28, 24, 28
8, 10, 24, 24, 74, 26, 40, 24, 42, 26, 40, 24, 74, 26, 40, 24, 42, 26, 40
8, 10, 20, 22, 62, 32, 72, 24, 72, 22, 62, 22, 62, 32, 72, 24, 72, 22, 62
7, 10, 40, 24, 74, 24, 74, 26, 40, 26, 40, 24, 74, 24, 74, 26, 40, 26, 40
9, 8, 12, 24, 56, 24, 72, 24, 56, 32, 56, 24, 56, 24, 72, 24, 56, 32, 56
7, 18, 10, 44, 26, 42, 24, 26, 24, 28, 26, 44, 26, 42, 24, 26, 24, 28, 26
7, 10, 18, 26, 28, 26, 44, 24, 42, 24, 26, 26, 28, 26, 44, 24, 42, 24, 26
5, 12, 28, 24, 60, 24, 28, 32, 60, 32, 28, 24, 60, 24, 28, 32, 60, 32, 28
7, 10, 22, 42, 42, 36, 32, 44, 32, 42, 42, 42, 42, 36, 32, 44, 32, 42, 42
6, 24, 10, 60, 24, 26, 22, 60, 24, 26, 22, 60, 24, 26, 22, 60, 24, 26, 22
6, 10, 24, 24, 60, 24, 60, 22, 26, 22, 26, 24, 60, 24, 60, 22, 26, 22, 26
8, 10, 20, 22, 62, 24, 72, 22, 62, 32, 72, 22, 62, 24, 72, 22, 62, 32, 72
8, 8, 16, 26, 40, 26, 32, 24, 42, 24, 34, 26, 40, 26, 32, 24, 42, 24, 34
5, 28, 12, 60, 32, 28, 24, 28, 32, 60, 24, 60, 32, 28, 24, 28, 32, 60, 24
7, 14, 24, 26, 40, 32, 42, 26, 40, 32, 74, 26, 40, 32, 42, 26, 40, 32, 74
7, 16, 10, 56, 24, 62, 22, 56, 24, 62, 22, 56, 24, 62, 22, 56, 24, 62, 22
8, 10, 24, 24, 42, 24, 74, 26, 40, 26, 40, 24, 42, 24, 74, 26, 40, 26, 40
9, 8, 20, 42, 42, 42, 30, 42, 30, 42, 42, 42, 42, 42, 30, 42, 30, 42, 42
8, 22, 8, 42, 42, 32, 36, 32, 36, 42, 42, 42, 42, 32, 36, 32, 36, 42, 42
8, 10, 10, 44, 26, 26, 24, 28, 26, 26, 24, 44, 26, 26, 24, 28, 26, 26, 24
7, 10, 16, 24, 28, 24, 28, 22, 42, 22, 42, 24, 28, 24, 28, 22, 42, 22, 42
8, 10, 10, 26, 28, 24, 26, 26, 28, 24, 42, 26, 28, 24, 26, 26, 28, 24, 42
5, 12, 12, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52
7, 22, 10, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44
8, 22, 8, 42, 42, 32, 36, 42, 42, 32, 36, 42, 42, 32, 36, 42, 42, 32, 36
9, 8, 12, 42, 30, 42, 26, 42, 30, 42, 26, 42, 30, 42, 26, 42, 30, 42, 26
9, 20, 8, 30, 42, 30, 42, 42, 42, 42, 42, 30, 42, 30, 42, 42, 42, 42, 42
8, 14, 10, 60, 24, 30, 22, 28, 24, 30, 22, 60, 24, 30, 22, 28, 24, 30, 22
10, 6, 10, 28, 26, 26, 24, 28, 26, 26, 24, 28, 26, 26, 24, 28, 26, 26, 24
7, 14, 10, 32, 36, 26, 42, 32, 44, 26, 42, 32, 36, 26, 42, 32, 44, 26, 42
8, 10, 10, 28, 26, 28, 26, 26, 24, 26, 24, 28, 26, 28, 26, 26, 24, 26, 24
8, 24, 10, 42, 24, 72, 26, 42, 24, 40, 26, 42, 24, 72, 26, 42, 24, 40, 26
6, 16, 14, 72, 32, 62, 22, 72, 32, 62, 22, 72, 32, 62, 22, 72, 32, 62, 22
5, 28, 12, 60, 32, 28, 32, 28, 24, 60, 24, 60, 32, 28, 32, 28, 24, 60, 24
8, 24, 10, 40, 26, 42, 24, 72, 26, 42, 24, 40, 26, 42, 24, 72, 26, 42, 24
8, 12, 10, 62, 22, 56, 24, 62, 22, 56, 32, 62, 22, 56, 24, 62, 22, 56, 32
7, 24, 14, 72, 26, 40, 26, 42, 32, 42, 32, 72, 26, 40, 26, 42, 32, 42, 32
9, 20, 8, 30, 42, 42, 42, 42, 42, 30, 42, 30, 42, 42, 42, 42, 42, 30, 42
8, 10, 12, 32, 56, 22, 62, 22, 62, 24, 56, 32, 56, 22, 62, 22, 62, 24, 56
8, 12, 10, 56, 32, 62, 22, 56, 24, 62, 22, 56, 32, 62, 22, 56, 24, 62, 22
4, 36, 12, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52, 28
7, 22, 10, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44
