U1,N1,N2,N_1_1_1,N_1_1_2,N_1_2_1,N_1_2_2,N_1_3_1,N_1_3_2,N_1_4_1,N_1_4_2,N_2_1_1,N_2_1_2,N_2_2_1,N_2_2_2,N_2_3_1,N_2_3_2,N_2_4_1,N_2_4_2
5, 12, 12, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28
7, 10, 22, 44, 32, 42, 42, 42, 42, 36, 32, 44, 32, 42, 42, 42, 42, 36, 32
8, 30, 8, 44, 26, 42, 24, 44, 26, 42, 24, 44, 26, 42, 24, 44, 26, 42, 24
4, 36, 12, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52, 28
5, 12, 12, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52
5, 12, 28, 32, 60, 24, 28, 32, 28, 24, 60, 32, 60, 24, 28, 32, 28, 24, 60
6, 14, 16, 32, 72, 22, 62, 32, 72, 22, 62, 32, 72, 22, 62, 32, 72, 22, 62
5, 12, 28, 32, 60, 24, 60, 32, 28, 24, 28, 32, 60, 24, 60, 32, 28, 24, 28
8, 12, 10, 62, 22, 62, 22, 56, 24, 56, 32, 62, 22, 62, 22, 56, 24, 56, 32
7, 16, 10, 72, 24, 62, 22, 72, 24, 62, 22, 72, 24, 62, 22, 72, 24, 62, 22
5, 12, 12, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28
9, 20, 8, 42, 42, 42, 42, 30, 42, 30, 42, 42, 42, 42, 42, 30, 42, 30, 42
5, 12, 12, 60, 32, 28, 24, 28, 32, 28, 24, 60, 32, 28, 24, 28, 32, 28, 24
7, 24, 14, 72, 32, 62, 22, 72, 32, 62, 22, 72, 32, 62, 22, 72, 32, 62, 22
7, 10, 22, 32, 42, 26, 44, 24, 26, 26, 28, 32, 42, 26, 44, 24, 26, 26, 28
8, 10, 20, 22, 62, 32, 72, 24, 72, 22, 62, 22, 62, 32, 72, 24, 72, 22, 62
5, 12, 12, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28
8, 14, 10, 28, 24, 30, 22, 60, 24, 30, 22, 28, 24, 30, 22, 60, 24, 30, 22
5, 12, 12, 32, 60, 24, 28, 24, 28, 32, 28, 32, 60, 24, 28, 24, 28, 32, 28
5, 12, 12, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28
8, 22, 8, 42, 42, 42, 42, 32, 36, 32, 36, 42, 42, 42, 42, 32, 36, 32, 36
9, 8, 12, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32
8, 8, 14, 36, 32, 42, 26, 36, 32, 42, 26, 36, 32, 42, 26, 36, 32, 42, 26
8, 10, 10, 28, 26, 26, 24, 28, 26, 26, 24, 28, 26, 26, 24, 28, 26, 26, 24
7, 14, 10, 32, 44, 26, 42, 26, 42, 32, 36, 32, 44, 26, 42, 26, 42, 32, 36
9, 12, 8, 30, 42, 26, 42, 26, 42, 30, 42, 30, 42, 26, 42, 26, 42, 30, 42
7, 22, 10, 42, 42, 42, 42, 32, 36, 32, 44, 42, 42, 42, 42, 32, 36, 32, 44
7, 22, 10, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44
8, 8, 10, 28, 24, 26, 22, 26, 22, 28, 24, 28, 24, 26, 22, 26, 22, 28, 24
8, 10, 10, 26, 28, 24, 26, 26, 28, 24, 26, 26, 28, 24, 26, 26, 28, 24, 26
7, 40, 10, 60, 24, 60, 24, 42, 22, 42, 22, 60, 24, 60, 24, 42, 22, 42, 22
5, 12, 12, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84
7, 10, 18, 26, 28, 24, 42, 26, 44, 24, 26, 26, 28, 24, 42, 26, 44, 24, 26
8, 22, 8, 32, 36, 42, 42, 32, 36, 42, 42, 32, 36, 42, 42, 32, 36, 42, 42
8, 8, 16, 24, 42, 26, 40, 26, 32, 24, 34, 24, 42, 26, 40, 26, 32, 24, 34
8, 14, 8, 26, 42, 32, 36, 26, 42, 32, 36, 26, 42, 32, 36, 26, 42, 32, 36
7, 14, 24, 22, 62, 32, 72, 22, 62, 32, 72, 22, 62, 32, 72, 22, 62, 32, 72
9, 6, 10, 28, 24, 28, 24, 30, 22, 30, 22, 28, 24, 28, 24, 30, 22, 30, 22
8, 10, 14, 26, 28, 26, 28, 32, 26, 24, 26, 26, 28, 26, 28, 32, 26, 24, 26
8, 10, 12, 22, 62, 24, 56, 22, 62, 32, 56, 22, 62, 24, 56, 22, 62, 32, 56
9, 6, 10, 28, 24, 30, 22, 28, 24, 30, 22, 28, 24, 30, 22, 28, 24, 30, 22
8, 8, 22, 42, 42, 36, 32, 42, 42, 36, 32, 42, 42, 36, 32, 42, 42, 36, 32
9, 8, 20, 24, 42, 26, 40, 26, 40, 24, 42, 24, 42, 26, 40, 26, 40, 24, 42
7, 10, 14, 44, 32, 42, 26, 42, 26, 36, 32, 44, 32, 42, 26, 42, 26, 36, 32
7, 14, 24, 26, 72, 32, 42, 26, 40, 32, 42, 26, 72, 32, 42, 26, 40, 32, 42
7, 30, 10, 42, 32, 42, 24, 44, 26, 44, 26, 42, 32, 42, 24, 44, 26, 44, 26
9, 14, 8, 26, 24, 28, 26, 26, 24, 28, 26, 26, 24, 28, 26, 26, 24, 28, 26
6, 40, 14, 126, 22, 62, 22, 72, 32, 72, 32, 126, 22, 62, 22, 72, 32, 72, 32
7, 8, 32, 26, 72, 26, 32, 24, 34, 24, 74, 26, 72, 26, 32, 24, 34, 24, 74
7, 10, 14, 44, 32, 42, 26, 36, 32, 42, 26, 44, 32, 42, 26, 36, 32, 42, 26
7, 10, 14, 44, 32, 42, 26, 36, 32, 42, 26, 44, 32, 42, 26, 36, 32, 42, 26
9, 12, 10, 42, 22, 28, 24, 26, 22, 28, 24, 42, 22, 28, 24, 26, 22, 28, 24
6, 14, 40, 32, 72, 22, 126, 32, 72, 22, 62, 32, 72, 22, 126, 32, 72, 22, 62
7, 10, 16, 22, 62, 24, 72, 22, 62, 24, 72, 22, 62, 24, 72, 22, 62, 24, 72
7, 14, 10, 32, 44, 32, 36, 26, 42, 26, 42, 32, 44, 32, 36, 26, 42, 26, 42
7, 18, 10, 44, 26, 26, 24, 28, 26, 42, 24, 44, 26, 26, 24, 28, 26, 42, 24
4, 12, 36, 28, 84, 28, 52, 28, 84, 28, 52, 28, 84, 28, 52, 28, 84, 28, 52
5, 12, 28, 24, 60, 32, 28, 24, 28, 32, 60, 24, 60, 32, 28, 24, 28, 32, 60
7, 22, 10, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42
8, 8, 10, 28, 24, 26, 22, 28, 24, 26, 22, 28, 24, 26, 22, 28, 24, 26, 22
7, 10, 14, 42, 26, 36, 32, 42, 26, 44, 32, 42, 26, 36, 32, 42, 26, 44, 32
7, 10, 22, 42, 42, 44, 32, 42, 42, 36, 32, 42, 42, 44, 32, 42, 42, 36, 32
7, 10, 22, 42, 42, 44, 32, 42, 42, 36, 32, 42, 42, 44, 32, 42, 42, 36, 32
8, 8, 14, 36, 32, 42, 26, 42, 26, 36, 32, 36, 32, 42, 26, 42, 26, 36, 32
5, 12, 12, 60, 32, 28, 32, 28, 24, 28, 24, 60, 32, 28, 32, 28, 24, 28, 24
5, 28, 12, 60, 24, 28, 24, 60, 32, 28, 32, 60, 24, 28, 24, 60, 32, 28, 32
8, 10, 10, 28, 26, 26, 24, 26, 24, 28, 26, 28, 26, 26, 24, 26, 24, 28, 26
7, 10, 22, 32, 42, 26, 44, 24, 26, 26, 28, 32, 42, 26, 44, 24, 26, 26, 28
7, 32, 8, 72, 26, 74, 24, 34, 24, 32, 26, 72, 26, 74, 24, 34, 24, 32, 26
5, 28, 12, 60, 32, 60, 24, 28, 24, 28, 32, 60, 32, 60, 24, 28, 24, 28, 32
7, 22, 10, 42, 42, 32, 44, 32, 36, 42, 42, 42, 42, 32, 44, 32, 36, 42, 42
6, 16, 14, 72, 32, 62, 22, 62, 22, 72, 32, 72, 32, 62, 22, 62, 22, 72, 32
7, 10, 14, 44, 32, 42, 26, 36, 32, 42, 26, 44, 32, 42, 26, 36, 32, 42, 26
7, 22, 10, 42, 42, 32, 44, 32, 36, 42, 42, 42, 42, 32, 44, 32, 36, 42, 42
9, 12, 8, 34, 24, 34, 24, 32, 26, 32, 26, 34, 24, 34, 24, 32, 26, 32, 26
9, 8, 20, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40
5, 28, 12, 60, 32, 28, 32, 60, 24, 28, 24, 60, 32, 28, 32, 60, 24, 28, 24
7, 10, 22, 42, 42, 44, 32, 42, 42, 36, 32, 42, 42, 44, 32, 42, 42, 36, 32
8, 8, 30, 26, 44, 24, 42, 26, 44, 24, 42, 26, 44, 24, 42, 26, 44, 24, 42
7, 10, 22, 32, 26, 26, 28, 24, 42, 26, 44, 32, 26, 26, 28, 24, 42, 26, 44
8, 8, 16, 26, 32, 24, 42, 26, 40, 24, 34, 26, 32, 24, 42, 26, 40, 24, 34
9, 8, 12, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32
8, 10, 14, 24, 26, 26, 28, 32, 26, 26, 28, 24, 26, 26, 28, 32, 26, 26, 28
8, 8, 10, 28, 24, 28, 24, 26, 22, 26, 22, 28, 24, 28, 24, 26, 22, 26, 22
9, 12, 8, 32, 26, 34, 24, 34, 24, 32, 26, 32, 26, 34, 24, 34, 24, 32, 26
9, 14, 8, 26, 24, 26, 24, 28, 26, 28, 26, 26, 24, 26, 24, 28, 26, 28, 26
9, 20, 8, 40, 26, 40, 26, 42, 24, 42, 24, 40, 26, 40, 26, 42, 24, 42, 24
8, 10, 20, 32, 42, 26, 40, 24, 42, 26, 40, 32, 42, 26, 40, 24, 42, 26, 40
6, 10, 24, 24, 60, 22, 26, 24, 60, 22, 26, 24, 60, 22, 26, 24, 60, 22, 26
5, 12, 12, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28
7, 10, 16, 22, 62, 24, 72, 24, 72, 22, 62, 22, 62, 24, 72, 24, 72, 22, 62
7, 8, 32, 24, 74, 26, 32, 24, 34, 26, 72, 24, 74, 26, 32, 24, 34, 26, 72
7, 16, 10, 28, 24, 28, 24, 42, 22, 42, 22, 28, 24, 28, 24, 42, 22, 42, 22
7, 16, 10, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22
9, 8, 20, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42
9, 8, 20, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40
7, 16, 10, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24
7, 22, 10, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42
8, 10, 14, 24, 26, 26, 28, 32, 26, 26, 28, 24, 26, 26, 28, 32, 26, 26, 28
8, 8, 10, 28, 24, 26, 22, 28, 24, 26, 22, 28, 24, 26, 22, 28, 24, 26, 22
5, 12, 12, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28
5, 12, 12, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52
7, 8, 32, 24, 74, 26, 72, 24, 34, 26, 32, 24, 74, 26, 72, 24, 34, 26, 32
4, 12, 36, 28, 52, 28, 84, 28, 52, 28, 84, 28, 52, 28, 84, 28, 52, 28, 84
8, 16, 8, 34, 24, 32, 26, 42, 24, 40, 26, 34, 24, 32, 26, 42, 24, 40, 26
5, 12, 12, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84
8, 10, 14, 26, 28, 24, 26, 32, 26, 26, 28, 26, 28, 24, 26, 32, 26, 26, 28
7, 10, 16, 24, 28, 22, 42, 24, 28, 22, 42, 24, 28, 22, 42, 24, 28, 22, 42
7, 10, 14, 36, 32, 42, 26, 44, 32, 42, 26, 36, 32, 42, 26, 44, 32, 42, 26
5, 12, 12, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52
9, 8, 20, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42
8, 8, 30, 26, 44, 26, 44, 24, 42, 24, 42, 26, 44, 26, 44, 24, 42, 24, 42
4, 36, 12, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28
5, 12, 12, 60, 32, 28, 24, 28, 24, 28, 32, 60, 32, 28, 24, 28, 24, 28, 32
7, 10, 16, 24, 28, 22, 42, 22, 42, 24, 28, 24, 28, 22, 42, 22, 42, 24, 28
8, 8, 16, 26, 40, 24, 34, 26, 32, 24, 42, 26, 40, 24, 34, 26, 32, 24, 42
7, 10, 30, 32, 42, 26, 44, 24, 42, 26, 44, 32, 42, 26, 44, 24, 42, 26, 44
4, 12, 36, 28, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52
5, 10, 56, 42, 126, 42, 58, 34, 58, 42, 126, 42, 126, 42, 58, 34, 58, 42, 126
5, 12, 28, 32, 60, 24, 28, 32, 28, 24, 60, 32, 60, 24, 28, 32, 28, 24, 60
6, 24, 10, 60, 24, 26, 22, 26, 22, 60, 24, 60, 24, 26, 22, 26, 22, 60, 24
4, 12, 36, 28, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52
7, 22, 10, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36
4, 12, 36, 28, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52
8, 30, 8, 44, 26, 42, 24, 44, 26, 42, 24, 44, 26, 42, 24, 44, 26, 42, 24
7, 32, 8, 72, 26, 34, 24, 32, 26, 74, 24, 72, 26, 34, 24, 32, 26, 74, 24
